term,estimate,se,p,n,source,response,p_adj
ax_thermal,-0.0736225746217344,0.0300585377483321,0.0143131556515317,3772,Range map,body_mass.mean,0.0309473635708793
ax_water,-0.0142248453233014,0.0231746997990429,0.539341377746417,3772,Range map,body_mass.mean,0.68487793999545
ax_productivity,0.00432308684161745,0.0138944419943143,0.755695826234769,3772,Range map,body_mass.mean,0.80122518067832
ax_structure,-0.0666277002993999,0.00540646403109098,0,3772,Range map,body_mass.mean,0
ax_human,0.00319483325534699,0.00741517252806255,0.66657683591324,3772,Range map,body_mass.mean,0.753334580017694
ax_thermal,-0.178176354102711,0.0585565036292225,0.00234379744700841,944,Occurrence,body_mass.mean,0.00568663817644566
ax_water,-0.0227750567540061,0.0593065103845159,0.700961491585203,944,Occurrence,body_mass.mean,0.768176977079675
ax_productivity,-0.474428403889384,0.0470984977440696,0,944,Occurrence,body_mass.mean,0
ax_structure,-0.301956564878222,0.0327930763502388,0,944,Occurrence,body_mass.mean,0
ax_human,0.0454580685271951,0.035810137253129,0.204291664112372,944,Occurrence,body_mass.mean,0.314294867865188
ax_thermal,-0.178713670951111,0.0587378979453954,0.00234573824778384,944,Occurrence + coverage control,body_mass.mean,0.00568663817644566
ax_water,-0.0249856726997325,0.0595010170893063,0.674543827905344,944,Occurrence + coverage control,body_mass.mean,0.753334580017694
ax_productivity,-0.472863721879446,0.0471965528820005,0,944,Occurrence + coverage control,body_mass.mean,0
ax_structure,-0.30338357456028,0.0328371595839317,0,944,Occurrence + coverage control,body_mass.mean,0
ax_human,0.0410522916878893,0.0361100451289413,0.255594201795238,944,Occurrence + coverage control,body_mass.mean,0.378658076733686
coverage,0.0213931569850251,0.0223248567016778,0.337928511674319,944,Occurrence + coverage control,body_mass.mean,0.474285630420097
ax_thermal,-0.0346907130200127,0.0247318789341739,0.160714683451984,3772,Range map,habitat_breadth.mean,0.262391319921606
ax_water,-0.0424853245736385,0.0190149919521511,0.0254628975342415,3772,Range map,habitat_breadth.mean,0.0509257950684829
ax_productivity,-0.0233037053534509,0.0113496978781485,0.0400488653549105,3772,Range map,habitat_breadth.mean,0.0762835530569723
ax_structure,-0.0610791570441562,0.00441359983301554,0,3772,Range map,habitat_breadth.mean,0
ax_human,0.00899701023032621,0.00605415247080203,0.13725554481683,3772,Range map,habitat_breadth.mean,0.238705295333618
ax_thermal,-0.0750111665112347,0.0813589637656363,0.356540103687287,944,Occurrence,habitat_breadth.mean,0.475386804916382
ax_water,-0.115427040281041,0.0816938455271113,0.157678628437606,944,Occurrence,habitat_breadth.mean,0.262391319921606
ax_productivity,-0.311923468558037,0.0546732308935842,1.16184701859368e-08,944,Occurrence,habitat_breadth.mean,5.163764527083e-08
ax_structure,-0.330557153144337,0.0330217847153482,0,944,Occurrence,habitat_breadth.mean,0
ax_human,-0.0221567305438625,0.0390698871387862,0.57064280785054,944,Occurrence,habitat_breadth.mean,0.710073691737256
ax_thermal,-0.0742948179802352,0.0796175683982623,0.350744575108251,944,Occurrence + coverage control,habitat_breadth.mean,0.475386804916382
ax_water,-0.104531225114761,0.0799707378692117,0.191172493826769,944,Occurrence + coverage control,habitat_breadth.mean,0.299878421689049
ax_productivity,-0.316133866324981,0.0537786742487119,4.14190104436329e-09,944,Occurrence + coverage control,habitat_breadth.mean,1.94912990322979e-08
ax_structure,-0.326434712393509,0.0325950477850251,0,944,Occurrence + coverage control,habitat_breadth.mean,0
ax_human,0.00211027131034474,0.0387784906458985,0.956601657292731,944,Occurrence + coverage control,habitat_breadth.mean,0.976148837224258
coverage,-0.100441000628473,0.0203984319483306,8.48115050633425e-07,944,Occurrence + coverage control,habitat_breadth.mean,3.23091447860352e-06
ax_thermal,-0.0445723623633677,0.0222334878009926,0.0449908497428957,3772,Range map,range_size.mean,0.0837039064984106
ax_water,-0.0905725267810289,0.017095541923005,1.17065005689199e-07,3772,Range map,range_size.mean,4.68260022756795e-07
ax_productivity,-0.0140405486922406,0.0102054875672235,0.16888845015063,3772,Range map,range_size.mean,0.270221520241008
ax_structure,-0.0636552119464196,0.00396871210451316,0,3772,Range map,range_size.mean,0
ax_human,0.0178484236895437,0.00544388865606348,0.00104317260327003,3772,Range map,range_size.mean,0.00278179360872007
ax_thermal,-0.240305915955094,0.0710324441248802,0.000716870282653659,944,Occurrence,range_size.mean,0.00204820080758188
ax_water,-0.27108458424585,0.0712671740772999,0.000142505292633821,944,Occurrence,range_size.mean,0.000475017642112737
ax_productivity,-0.128609381390264,0.047028637146706,0.00624364770359809,944,Occurrence,range_size.mean,0.0138747726746624
ax_structure,-0.340028545762867,0.0281581351477868,0,944,Occurrence,range_size.mean,0
ax_human,0.0695569237092286,0.0334821407538874,0.0377615591038445,944,Occurrence,range_size.mean,0.0736810909343307
ax_thermal,-0.241018966488544,0.0682893060528504,0.000416533280944709,944,Occurrence + coverage control,range_size.mean,0.00123417268428062
ax_water,-0.257774500879417,0.0685448671066472,0.000169460094704643,944,Occurrence + coverage control,range_size.mean,0.000542272303054858
ax_productivity,-0.132706140337345,0.0455525557124116,0.00357684156538607,944,Occurrence + coverage control,range_size.mean,0.00817563786373959
ax_structure,-0.33491800099246,0.0274034927481074,0,944,Occurrence + coverage control,range_size.mean,0
ax_human,0.0999849685325064,0.0327436500807328,0.00226137316574859,944,Occurrence + coverage control,range_size.mean,0.00568663817644566
coverage,-0.122593696701075,0.0170821833918643,7.14095449438901e-13,944,Occurrence + coverage control,range_size.mean,4.08054542536515e-12
ax_thermal,-0.155543524795545,0.027964861812302,2.66538351390011e-08,3772,Range map,body_mass.var,1.12226674269478e-07
ax_water,-0.0120363028168789,0.0215755588819498,0.57693487453652,3772,Range map,body_mass.var,0.710073691737256
ax_productivity,0.00705059569697452,0.0129491591686317,0.586109214605797,3772,Range map,body_mass.var,0.710435411643391
ax_structure,-0.0341558479294034,0.00503948275676553,1.2214673716926e-11,3772,Range map,body_mass.var,6.51449264902719e-11
ax_human,-0.0064827517195106,0.00691153197473864,0.348264134814264,3772,Range map,body_mass.var,0.475386804916382
ax_thermal,-0.21862617976476,0.0648134134932675,0.000743100670565156,944,Occurrence,body_mass.var,0.00204993288431767
ax_water,-0.0671457216199853,0.0656197712615129,0.306187563860109,944,Occurrence,body_mass.var,0.437410805514442
ax_productivity,-0.422358337987931,0.0514065047775609,2.22044604925031e-16,944,Occurrence,body_mass.var,1.36642833800019e-15
ax_structure,0.0598498023686901,0.03529592743202,0.089950770707643,944,Occurrence,body_mass.var,0.159912481258032
ax_human,0.0119382972252048,0.0388440869236781,0.758585463321099,944,Occurrence,body_mass.var,0.80122518067832
ax_thermal,-0.226047823873482,0.0634349022013696,0.000365996568796545,944,Occurrence + coverage control,body_mass.var,0.00112614328860475
ax_water,-0.0777305672380332,0.0642381316130269,0.226264389876809,944,Occurrence + coverage control,body_mass.var,0.341531154531033
ax_productivity,-0.413725979586274,0.0503848091011359,2.22044604925031e-16,944,Occurrence + coverage control,body_mass.var,1.36642833800019e-15
ax_structure,0.0508556511663659,0.0346535136141412,0.142227382428203,944,Occurrence + coverage control,body_mass.var,0.242089161579919
ax_human,-0.0159248684335536,0.0383554024119865,0.678001122015924,944,Occurrence + coverage control,body_mass.var,0.753334580017694
coverage,0.140201090262777,0.0233698753343939,1.98264094031231e-09,944,Occurrence + coverage control,body_mass.var,9.91320470156154e-09
ax_thermal,-0.0200480915004166,0.0390050653790259,0.607261169967428,3772,Range map,habitat_breadth.var,0.725087964140212
ax_water,0.0339331891046151,0.030223816551095,0.261552132840821,3772,Range map,habitat_breadth.var,0.380439465950286
ax_productivity,-0.0334073105509069,0.0182499292859954,0.0671685354344582,3772,Range map,habitat_breadth.var,0.122124609880833
ax_structure,-0.0208794289712213,0.00711033237568997,0.00331948159919326,3772,Range map,habitat_breadth.var,0.00781054493927827
ax_human,0.000440626630684041,0.00974812853512879,0.963946976758955,3772,Range map,habitat_breadth.var,0.976148837224258
ax_thermal,-0.0712398621851041,0.0807691103276699,0.377766718349538,944,Occurrence,habitat_breadth.var,0.487707300881044
ax_water,-0.0390887586510468,0.0817577811943935,0.632575868098797,944,Occurrence,habitat_breadth.var,0.733664930916901
ax_productivity,-0.0185121773612217,0.063652313388356,0.771179236402883,944,Occurrence,habitat_breadth.var,0.80122518067832
ax_structure,-0.200276611543164,0.0434333464397585,4.00494636321191e-06,944,Occurrence,habitat_breadth.var,1.42488747494727e-05
ax_human,0.115405678771281,0.0479653256299948,0.0161272474043106,944,Occurrence,habitat_breadth.var,0.0339520997985486
ax_thermal,-0.0712244065567952,0.0807865474222406,0.377973158182809,944,Occurrence + coverage control,habitat_breadth.var,0.487707300881044
ax_water,-0.039079621175494,0.0817891745840623,0.632786002915827,944,Occurrence + coverage control,habitat_breadth.var,0.733664930916901
ax_productivity,-0.0185233163448989,0.0636795495643818,0.771140588102595,944,Occurrence + coverage control,habitat_breadth.var,0.80122518067832
ax_structure,-0.200263196313279,0.0434747758179742,4.09655149047339e-06,944,Occurrence + coverage control,habitat_breadth.var,1.42488747494727e-05
ax_human,0.115440943860662,0.0483199155474426,0.0168898627611473,944,Occurrence + coverage control,habitat_breadth.var,0.0346458723305587
coverage,-0.000170807312560316,0.0291715220048026,0.995328192378509,944,Occurrence + coverage control,habitat_breadth.var,0.995328192378509
