trait,PC1,PC2,PC3,class
size,0.42,-0.37,-0.395,Aves
litter_size,0.178,0.692,-0.241,Aves
nocturnality,0.191,-0.596,0.013,Aves
verticality,-0.434,-0.094,0.619,Aves
habitat_breadth,0.534,0.12,0.412,Aves
range_size,0.531,0.077,0.481,Aves
size,0.397,0.331,-0.53,Mammalia
litter_size,0.348,-0.595,0.318,Mammalia
nocturnality,-0.368,0.135,0.58,Mammalia
verticality,-0.523,0.397,-0.041,Mammalia
habitat_breadth,0.397,0.477,0.306,Mammalia
range_size,0.394,0.365,0.432,Mammalia
size,0.565,0.339,-0.212,Reptilia
litter_size,0.562,0.284,-0.105,Reptilia
nocturnality,-0.028,0.669,0.08,Reptilia
verticality,-0.12,-0.118,-0.957,Reptilia
habitat_breadth,0.416,-0.405,0.144,Reptilia
range_size,0.42,-0.424,0.016,Reptilia
size,0.127,0.705,0.118,Amphibia
litter_size,-0.354,0.101,0.735,Amphibia
nocturnality,0.407,-0.131,-0.365,Amphibia
verticality,0.048,-0.687,0.321,Amphibia
habitat_breadth,-0.594,-0.053,-0.291,Amphibia
range_size,-0.581,-0.001,-0.354,Amphibia
