term,estimate,se,p,n,lambda,resid_moran,class,response,response_type,hypothesis,thermal,p_adj
bio1_mean,-0.0719306459722652,0.0197233826939528,0.000265347698866769,3772,0.988582603432618,-0.034898336920643,Aves,size,single trait,Ambient energy,Endotherm,0.000855449305846582
bio12_mean,0.0257936312527754,0.0246948559701413,0.296256849519238,3772,0.988582603432618,-0.034898336920643,Aves,size,single trait,Water availability,Endotherm,0.415529087637373
npp,0.0171668300574212,0.0120818119627742,0.155351044740025,3772,0.988582603432618,-0.034898336920643,Aves,size,single trait,Productivity,Endotherm,0.253499459985077
elev_range,-0.0887200010936191,0.00617391965332043,0,3772,0.988582603432618,-0.034898336920643,Aves,size,single trait,Habitat heterogeneity,Endotherm,0
bio4_mean,0.0165570547348311,0.035399897218025,0.639988578336334,3772,0.988582603432618,-0.034898336920643,Aves,size,single trait,Climatic seasonality,Endotherm,0.712564605160937
hfp2020,0.00329615961665039,0.00759992061070776,0.664499230458649,3772,0.988582603432618,-0.034898336920643,Aves,size,single trait,Human pressure,Endotherm,0.722873973796893
bio1_mean,-0.0638599870409117,0.0171050687202663,0.000188915574815374,3772,0.988957106593378,-0.0552137532723453,Aves,fecundity,single trait,Ambient energy,Endotherm,0.000637590065001886
bio12_mean,-0.0860463129563162,0.0214100155208102,5.84519202329048e-05,3772,0.988957106593378,-0.0552137532723453,Aves,fecundity,single trait,Water availability,Endotherm,0.000225457406612633
npp,0.0149852859642386,0.010471167591561,0.152401611378824,3772,0.988957106593378,-0.0552137532723453,Aves,fecundity,single trait,Productivity,Endotherm,0.253221138906354
elev_range,-0.0107554508803428,0.00535071324677314,0.0444209584319548,3772,0.988957106593378,-0.0552137532723453,Aves,fecundity,single trait,Habitat heterogeneity,Endotherm,0.084910858595595
bio4_mean,0.0402267189135499,0.030711191504228,0.190250278553122,3772,0.988957106593378,-0.0552137532723453,Aves,fecundity,single trait,Climatic seasonality,Endotherm,0.295640720629313
hfp2020,0.00360401612019315,0.00658661181159079,0.584259886324091,3772,0.988957106593378,-0.0552137532723453,Aves,fecundity,single trait,Human pressure,Endotherm,0.678495351860235
bio1_mean,0.0282236588781616,0.0283875997105865,0.320113381467779,3772,0.983958653195689,-0.0243779939767644,Aves,nocturnality,single trait,Ambient energy,Endotherm,0.426005036808177
bio12_mean,0.0895442120590295,0.0356951761140015,0.0121217447450988,3772,0.983958653195689,-0.0243779939767644,Aves,nocturnality,single trait,Water availability,Endotherm,0.0267173149483809
npp,-0.0179318672071259,0.0175439713888592,0.306728878198687,3772,0.983958653195689,-0.0243779939767644,Aves,nocturnality,single trait,Productivity,Endotherm,0.417566021854727
elev_range,-0.0285487766106975,0.00896878695273016,0.00145694328851786,3772,0.983958653195689,-0.0243779939767644,Aves,nocturnality,single trait,Habitat heterogeneity,Endotherm,0.00419599667093145
bio4_mean,0.00433039394689349,0.0506863855548943,0.93191552816267,3772,0.983958653195689,-0.0243779939767644,Aves,nocturnality,single trait,Climatic seasonality,Endotherm,0.958541686110174
hfp2020,0.0106693445662081,0.0110397164339988,0.333818573807564,3772,0.983958653195689,-0.0243779939767644,Aves,nocturnality,single trait,Human pressure,Endotherm,0.439663487453865
bio1_mean,0.028183916155689,0.0117519224453725,0.0164741221206686,3772,0.994491807168181,-0.045346631210051,Aves,verticality,single trait,Ambient energy,Endotherm,0.0355841037806441
bio12_mean,0.0524286959835945,0.0146555332529677,0.000347029700931589,3772,0.994491807168181,-0.045346631210051,Aves,verticality,single trait,Water availability,Endotherm,0.00110232963825328
npp,-0.00675998889869511,0.00713603299660763,0.343484157516563,3772,0.994491807168181,-0.045346631210051,Aves,verticality,single trait,Productivity,Endotherm,0.446943241105889
elev_range,0.0380681460763081,0.00364523810054309,0,3772,0.994491807168181,-0.045346631210051,Aves,verticality,single trait,Habitat heterogeneity,Endotherm,0
bio4_mean,0.00894828291937742,0.0211803496194468,0.67267439228322,3772,0.994491807168181,-0.045346631210051,Aves,verticality,single trait,Climatic seasonality,Endotherm,0.722873973796893
