class,response,response_type,climate_unique,habitat_unique,human_unique,shared,total,thermal
Aves,size,single trait,0.2432,0.0544,1e-04,0.3406,0.6384,Endotherm
Aves,fecundity,single trait,0.6916,0.0171,0.0077,0.1647,0.8812,Endotherm
Aves,nocturnality,single trait,0.0839,0.0322,0.0494,0.125,0.2904,Endotherm
Aves,verticality,single trait,0.1126,0.0404,0.0088,0.666,0.8279,Endotherm
Aves,habitat_breadth,single trait,0.3002,0.0331,0.0017,0.4065,0.7415,Endotherm
Aves,range_size,single trait,0.3937,0.021,0.0018,0.3944,0.8109,Endotherm
Aves,SIZE,functional axis,0.2432,0.0544,1e-04,0.3406,0.6384,Endotherm
Aves,PACE,functional axis,0.6843,0.0149,0.0071,0.181,0.8872,Endotherm
Aves,NICHE,functional axis,0.3513,0.0229,0.0018,0.4129,0.789,Endotherm
Mammalia,size,single trait,0.3396,0.0305,0.0115,0.3554,0.7369,Endotherm
Mammalia,fecundity,single trait,0.5791,0.01,0.0121,0.271,0.8722,Endotherm
Mammalia,nocturnality,single trait,0.3828,7e-04,5e-04,0.3953,0.7793,Endotherm
Mammalia,verticality,single trait,0.3493,0.0058,5e-04,0.527,0.8827,Endotherm
Mammalia,habitat_breadth,single trait,0.2126,0.0105,6e-04,0.0497,0.2735,Endotherm
Mammalia,range_size,single trait,0.4847,0.0188,1e-04,0.2198,0.7234,Endotherm
Mammalia,SIZE,functional axis,0.3396,0.0305,0.0115,0.3554,0.7369,Endotherm
Mammalia,PACE,functional axis,0.5234,0.0053,0.0078,0.3491,0.8857,Endotherm
Mammalia,NICHE,functional axis,0.355,0.0163,0,0.1135,0.4848,Endotherm
Reptilia,size,single trait,0.0944,0.0067,0.0211,0.4643,0.5864,Ectotherm
Reptilia,fecundity,single trait,0.0403,0.0106,0.0806,0.4294,0.5609,Ectotherm
Reptilia,nocturnality,single trait,0.2756,0.0037,0.0177,0.2938,0.5907,Ectotherm
Reptilia,verticality,single trait,0.2582,0.0134,0.0085,0.4824,0.7625,Ectotherm
Reptilia,habitat_breadth,single trait,0.521,0.0062,0.0037,0.1804,0.7113,Ectotherm
Reptilia,range_size,single trait,0.3148,-2e-04,8e-04,0.1425,0.4579,Ectotherm
Reptilia,SIZE,functional axis,0.0944,0.0067,0.0211,0.4643,0.5864,Ectotherm
Reptilia,PACE,functional axis,0.0594,0.011,0.1277,0.2331,0.4312,Ectotherm
Reptilia,NICHE,functional axis,0.4996,0.0035,0.0032,0.1819,0.6881,Ectotherm
Amphibia,size,single trait,0.3954,0.008,0,0.2091,0.6125,Ectotherm
Amphibia,fecundity,single trait,0.3248,0.0208,0.0131,0.3807,0.7393,Ectotherm
Amphibia,nocturnality,single trait,0.4262,0.0037,0.0014,0.2922,0.7236,Ectotherm
Amphibia,verticality,single trait,0.0754,0.0701,0.0363,0.3773,0.5591,Ectotherm
Amphibia,habitat_breadth,single trait,0.4574,2e-04,0.0031,0.3852,0.846,Ectotherm
Amphibia,range_size,single trait,0.2552,0.0176,0.0252,0.4221,0.7201,Ectotherm
Amphibia,SIZE,functional axis,0.3954,0.008,0,0.2091,0.6125,Ectotherm
Amphibia,PACE,functional axis,0.3377,0.0197,0.0128,0.3783,0.7484,Ectotherm
Amphibia,NICHE,functional axis,0.404,0.0026,0.0078,0.4168,0.8312,Ectotherm
