class,order,family,n_species,n_cells,thermal,kept20
Amphibia,Anura,Bombinatoridae,5,458,Ectotherm,FALSE
Amphibia,Anura,Bufonidae,21,2663,Ectotherm,TRUE
Amphibia,Anura,Dicroglossidae,52,2030,Ectotherm,TRUE
Amphibia,Anura,Hylidae,8,1416,Ectotherm,FALSE
Amphibia,Anura,Megophryidae,82,1147,Ectotherm,TRUE
Amphibia,Anura,Microhylidae,21,1367,Ectotherm,TRUE
Amphibia,Anura,Ranidae,107,2454,Ectotherm,TRUE
Amphibia,Anura,Rhacophoridae,71,1315,Ectotherm,TRUE
Amphibia,Caudata,Hynobiidae,27,645,Ectotherm,TRUE
Amphibia,Caudata,Salamandridae,36,538,Ectotherm,TRUE
Amphibia,Gymnophiona,Ichthyophiidae,1,26,Ectotherm,FALSE
Aves,Accipitriformes,Accipitridae,47,3772,Endotherm,TRUE
Aves,Anseriformes,Anatidae,34,3403,Endotherm,TRUE
Aves,Apodiformes,Apodidae,8,3470,Endotherm,FALSE
Aves,Apodiformes,Hemiprocnidae,1,79,Endotherm,FALSE
Aves,Bucerotiformes,Bucerotidae,4,98,Endotherm,FALSE
Aves,Bucerotiformes,Upupidae,1,3670,Endotherm,FALSE
Aves,Caprimulgiformes,Caprimulgidae,4,989,Endotherm,FALSE
Aves,Caprimulgiformes,Podargidae,1,4,Endotherm,FALSE
Aves,Charadriiformes,Burhinidae,2,100,Endotherm,FALSE
Aves,Charadriiformes,Charadriidae,13,3721,Endotherm,FALSE
Aves,Charadriiformes,Glareolidae,3,1261,Endotherm,FALSE
Aves,Charadriiformes,Haematopodidae,1,192,Endotherm,FALSE
Aves,Charadriiformes,Ibidorhynchidae,1,1658,Endotherm,FALSE
Aves,Charadriiformes,Jacanidae,2,837,Endotherm,FALSE
Aves,Charadriiformes,Recurvirostridae,2,1872,Endotherm,FALSE
Aves,Charadriiformes,Rostratulidae,1,1287,Endotherm,FALSE
Aves,Charadriiformes,Scolopacidae,16,2353,Endotherm,FALSE
Aves,Charadriiformes,Turnicidae,3,1697,Endotherm,FALSE
Aves,Ciconiiformes,Ciconiidae,5,1852,Endotherm,FALSE
Aves,Columbiformes,Columbidae,27,3759,Endotherm,TRUE
Aves,Coraciiformes,Alcedinidae,10,2166,Endotherm,FALSE
Aves,Coraciiformes,Coraciidae,2,1713,Endotherm,FALSE
Aves,Coraciiformes,Meropidae,6,681,Endotherm,FALSE
Aves,Cuculiformes,Cuculidae,16,3034,Endotherm,FALSE
Aves,Falconiformes,Falconidae,11,3373,Endotherm,FALSE
Aves,Galliformes,Phasianidae,61,3610,Endotherm,TRUE
Aves,Gruiformes,Gruidae,7,1496,Endotherm,FALSE
Aves,Gruiformes,Rallidae,17,3505,Endotherm,FALSE
