class,grain,env,trait,stat,p_maxtest,p_naive,r2_naive,p_naive_adj,thermal
Aves,50km,bio1_mean,body_mass,-0.0983025270925403,0.00645161290322581,4.03378368004087e-52,0.180616088951927,8.58251846817205e-52,Endotherm
Aves,50km,bio6_mean,body_mass,-0.132683354916478,0.00344827586206897,5.98725400226019e-116,0.363784912477518,2.30279000086931e-115,Endotherm
Aves,50km,bio4_mean,body_mass,0.164938605403113,0.00344827586206897,3.13482800017321e-189,0.524352924332934,1.95926750010825e-188,Endotherm
Aves,50km,bio12_mean,body_mass,-0.114398483686878,0.00645161290322581,4.33261420360878e-96,0.311638801262671,1.39761748503509e-95,Endotherm
Aves,50km,bio15_mean,body_mass,0.0496021869451928,0.0181818181818182,2.95708134722012e-23,0.0816576723975825,4.41355424958227e-23,Endotherm
Aves,50km,npp,body_mass,-0.043548887665933,0.146341463414634,2.82871594522622e-28,0.0996395211869289,4.63723925446921e-28,Endotherm
Aves,50km,elev_range,body_mass,-0.102850786158148,0.00344827586206897,3.17769968857263e-53,0.184187601081186,6.90804280124485e-53,Endotherm
Aves,50km,het_shannon,body_mass,-0.0644438277632833,0.00344827586206897,2.03674365454182e-35,0.124666422151036,3.70317028098513e-35,Endotherm
Aves,50km,hfp2020,body_mass,-0.0348554610296158,0.15421686746988,1.10582412788689e-18,0.0649991431958091,1.51482757244779e-18,Endotherm
Aves,50km,lc_cropland,body_mass,0.0268865338750638,0.13,0.712248916981413,0.000117421697001289,0.719443350486276,Endotherm
Aves,50km,bio1_mean,body_length,-0.0585131952759488,0.0486486486486486,1.37746958271755e-21,0.0756103086604726,1.99633272857616e-21,Endotherm
Aves,50km,bio6_mean,body_length,-0.0894055227806613,0.009375,3.23647732892712e-63,0.215836373961884,8.0911933223178e-63,Endotherm
Aves,50km,bio4_mean,body_length,0.127402435364476,0.00344827586206897,1.59127243466976e-157,0.460553647871608,7.95636217334879e-157,Endotherm
Aves,50km,bio12_mean,body_length,-0.0748957544791925,0.0228571428571429,1.50349228309721e-51,0.178760929872548,3.13227558978585e-51,Endotherm
Aves,50km,bio15_mean,body_length,0.033444035181451,0.0948717948717949,2.50413734802401e-15,0.0526194802977821,3.25212642600521e-15,Endotherm
Aves,50km,npp,body_length,-0.0146001851271612,0.650526315789474,4.46438829119028e-08,0.0255096672070151,5.37878107372323e-08,Endotherm
Aves,50km,elev_range,body_length,-0.096152439781003,0.00344827586206897,4.09988404488826e-77,0.257850631965631,1.17139544139665e-76,Endotherm
Aves,50km,het_shannon,body_length,-0.0470665965124958,0.0273972602739726,1.56115308546707e-22,0.0790425591387408,2.29581336098099e-22,Endotherm
Aves,50km,hfp2020,body_length,-0.00907737035695624,0.704081632653061,0.000272040493892003,0.0113752099468372,0.000309136924877277,Endotherm
Aves,50km,lc_cropland,body_length,0.0310235821551064,0.068421052631579,0.000497341477046509,0.0104120541219427,0.000552601641162788,Endotherm
Aves,50km,bio1_mean,nocturnality,0.0116073270824894,0.704081632653061,2.95777709848297e-10,0.0336898077195939,3.60704524205241e-10,Endotherm
Aves,50km,bio6_mean,nocturnality,-0.00119404820237749,0.954,0.737287610031329,9.71251522869939e-05,0.737287610031329,Endotherm
Aves,50km,bio4_mean,nocturnality,0.0256183343217803,0.350561797752809,3.70401015832688e-29,0.102769068628062,6.17335026387813e-29,Endotherm
Aves,50km,bio12_mean,nocturnality,0.00962407945039149,0.77979797979798,0.0500276123529236,0.00330960160856443,0.0526606445820248,Endotherm
Aves,50km,bio15_mean,nocturnality,0.00655937888638399,0.704081632653061,0.000677187115908123,0.00992096701950111,0.000736072952074047,Endotherm
Aves,50km,npp,nocturnality,0.0271814060542643,0.340909090909091,2.03540976705555e-11,0.038045723072534,2.54426220881944e-11,Endotherm
Aves,50km,elev_range,nocturnality,-0.0346230780073255,0.0253521126760563,1.35238527307632e-46,0.162503549217982,2.70477054615263e-46,Endotherm
Aves,50km,het_shannon,nocturnality,-0.0148988840055531,0.517391304347826,5.54197295346078e-25,0.0878818585332186,8.79678246581077e-25,Endotherm
Aves,50km,hfp2020,nocturnality,0.0120154976272713,0.593617021276596,0.0415525531028989,0.00357867942863181,0.0442048437264881,Endotherm
Aves,50km,lc_cropland,nocturnality,0.0148355663565256,0.382222222222222,0.000248195458807245,0.0115219985936211,0.000285282136560052,Endotherm
Aves,50km,bio1_mean,verticality,0.188936581268993,0.00344827586206897,7.60873464940346e-163,0.471826976829195,4.00459718389656e-162,Endotherm
Aves,50km,bio6_mean,verticality,0.199781892191772,0.00344827586206897,6.09504291431709e-192,0.529445575589076,4.35360208165507e-191,Endotherm
Aves,50km,bio4_mean,verticality,-0.167827128275923,0.00344827586206897,7.43858768866343e-70,0.23619147252013,2.01042910504417e-69,Endotherm
Aves,50km,bio12_mean,verticality,0.217356259073791,0.00344827586206897,1.1160514771864e-308,0.706589857130376,1.22968852701369e-308,Endotherm
Aves,50km,bio15_mean,verticality,-0.059853178435821,0.00344827586206897,2.16702273530738e-23,0.0821455241639263,3.28336778076876e-23,Endotherm
Aves,50km,npp,verticality,0.178736412877695,0.00344827586206897,1.80459974945742e-264,0.647200715854912,2.25574968682177e-263,Endotherm
Aves,50km,elev_range,verticality,0.0402230144299748,0.0123076923076923,0.0619687677469418,0.00300272750418023,0.0645507997363977,Endotherm
Aves,50km,het_shannon,verticality,0.128888898566099,0.00344827586206897,9.66716144130809e-116,0.363259494244292,3.58043016344744e-115,Endotherm
Aves,50km,hfp2020,verticality,0.126157233849738,0.00344827586206897,3.82944562918047e-131,0.401008041761322,1.74065710417294e-130,Endotherm
Aves,50km,lc_cropland,verticality,0.0394387104897405,0.0208955223880597,3.47481761292283e-34,0.120397060131734,6.20503145164791e-34,Endotherm
Aves,50km,bio1_mean,diet_breadth,-0.19169729791782,0.00344827586206897,1.21668213029291e-114,0.360474912117389,4.34529332247468e-114,Endotherm
Aves,50km,bio6_mean,diet_breadth,-0.230066571602973,0.00344827586206897,5.23554531786487e-239,0.609658933058092,5.23554531786487e-238,Endotherm
Aves,50km,bio4_mean,diet_breadth,0.240394623567449,0.00344827586206897,1.85049572476468e-253,0.631430681861671,2.05610636084964e-252,Endotherm
Aves,50km,bio12_mean,diet_breadth,-0.224713629712502,0.00344827586206897,3.83659344011999e-274,0.660496470104689,5.48084777159999e-273,Endotherm
Aves,50km,bio15_mean,diet_breadth,0.0792491810437132,0.00344827586206897,1.05338133162756e-27,0.0976102190994286,1.69900214778639e-27,Endotherm
Aves,50km,npp,diet_breadth,-0.120629786733049,0.00344827586206897,4.65894733791669e-83,0.275134341983903,1.37027862879903e-82,Endotherm
Aves,50km,elev_range,diet_breadth,-0.0894595685515303,0.00344827586206897,1.27257970604666e-18,0.0647752116888814,1.71970230546846e-18,Endotherm
Aves,50km,het_shannon,diet_breadth,-0.0993496026766065,0.00344827586206897,2.90993713325366e-57,0.197126647088839,6.61349348466741e-57,Endotherm
Aves,50km,hfp2020,diet_breadth,-0.0957548727349509,0.00344827586206897,2.89778531133802e-54,0.187539479270688,6.4395229140845e-54,Endotherm
Aves,50km,lc_cropland,diet_breadth,0.019519188895221,0.264367816091954,0.0362551121811644,0.00377796748834263,0.0389839915926499,Endotherm
Aves,50km,bio1_mean,diet_vert,-0.0889474150940046,0.00344827586206897,3.0202382302499e-33,0.117129394755952,5.29866356184193e-33,Endotherm
Aves,50km,bio6_mean,diet_vert,-0.125193867073567,0.00344827586206897,7.55374599477502e-105,0.33514117134396,2.51791533159168e-104,Endotherm
Aves,50km,bio4_mean,diet_vert,0.163000786260711,0.00344827586206897,1.61756638784815e-280,0.668984706496877,3.2351327756963e-279,Endotherm
Aves,50km,bio12_mean,diet_vert,-0.110906731029988,0.00344827586206897,3.10876076525274e-88,0.289857312436113,9.42048716743255e-88,Endotherm
Aves,50km,bio15_mean,diet_vert,0.0511300199787124,0.00645161290322581,1.86502274539972e-24,0.0859866936621399,2.91409803968706e-24,Endotherm
Aves,50km,npp,diet_vert,-0.0238491505525329,0.395604395604396,1.82321593711878e-07,0.0232152710548944,2.17049516323664e-07,Endotherm
Aves,50km,elev_range,diet_vert,-0.0988313844554085,0.00344827586206897,1.7734682858473e-71,0.241086952446014,4.92630079402029e-71,Endotherm
Aves,50km,het_shannon,diet_vert,-0.0472958836648567,0.0228571428571429,6.01769914311027e-20,0.0696303319930998,8.47563259592995e-20,Endotherm
Aves,50km,hfp2020,diet_vert,-0.0158284058596627,0.524731182795699,0.000525620049057172,0.0103239812374688,0.000577604449513376,Endotherm
Aves,50km,lc_cropland,diet_vert,0.047389005027289,0.009375,1.31810213731247e-11,0.038752081641365,1.66848371811705e-11,Endotherm
Aves,50km,bio1_mean,diet_plant,-0.187090144198009,0.00344827586206897,6.8758375150233e-191,0.527475393826244,4.5838916766822e-190,Endotherm
Aves,50km,bio6_mean,diet_plant,-0.20226102176195,0.00344827586206897,2.47849232440419e-274,0.66075224122165,4.13082054067365e-273,Endotherm
Aves,50km,bio4_mean,diet_plant,0.174090551773688,0.00344827586206897,7.70804158622217e-124,0.383393822499323,3.35132242879225e-123,Endotherm
Aves,50km,bio12_mean,diet_plant,-0.204972473989899,0.00344827586206897,0,0.754592599755651,0,Endotherm
Aves,50km,bio15_mean,diet_plant,0.0623154755001035,0.00344827586206897,8.22938075315868e-24,0.083663604767518,1.26605857740903e-23,Endotherm
