response,predictor,quantity,n_clades,n_endo,n_ecto,endo_mean,ecto_mean,contrast,se,t,p,model,p_adj
SES.FDis,ax_thermal,strength,22,11,11,0.1383,0.2094,0.0638,0.0924,0.69,0.499466087178204,lmer (1|class/order),0.830972149718815
SES.FDis,ax_thermal,direction,22,11,11,0.0406,-0.0071,-0.0477,0.1103,-0.433,0.670763142012071,lmer (1|class/order),0.856293372781368
SES.FDis,ax_water,strength,22,11,11,0.1444,0.1836,0.0408,0.0676,0.604,0.554021887626113,lmer (1|class/order),0.830972149718815
SES.FDis,ax_water,direction,22,11,11,0.0594,-0.0132,-0.0442,0.1653,-0.267,0.792320248579346,lmer (1|class/order),0.894030233157479
SES.FDis,ax_productivity,strength,22,11,11,0.0415,0.1246,0.0831,0.0368,2.26,0.0372214539727688,lmer (1|class/order),0.203026112578739
SES.FDis,ax_productivity,direction,22,11,11,-0.0112,0.0196,0.0308,0.055,0.56,0.5827221979766,lmer (1|class/order),0.830972149718815
SES.FDis,ax_structure,strength,22,11,11,0.0313,0.0472,0.0174,0.017,1.022,0.321052641407976,lmer (1|class/order),0.758442397203862
SES.FDis,ax_structure,direction,22,11,11,-0.0092,0.0093,0.0186,0.0212,0.876,0.393423239918862,lmer (1|class/order),0.80095300875047
SES.FDis,ax_human,strength,22,11,11,0.0259,0.0591,0.0342,0.0143,2.386,0.0289440133045815,lmer (1|class/order),0.203026112578739
SES.FDis,ax_human,direction,22,11,11,0.0098,-0.0267,-0.0379,0.0276,-1.37,0.188523274181706,lmer (1|class/order),0.665376261817786
SES.RaoQ,ax_thermal,strength,22,11,11,0.146,0.2211,0.0639,0.1121,0.57,0.576082017923291,lmer (1|class/order),0.830972149718815
SES.RaoQ,ax_thermal,direction,22,11,11,0.0295,-0.0189,-0.0484,0.1231,-0.393,0.69901894972933,lmer (1|class/order),0.862108998347414
SES.RaoQ,ax_water,strength,22,11,11,0.141,0.1892,0.0482,0.0701,0.687,0.501513917704055,lmer (1|class/order),0.830972149718815
SES.RaoQ,ax_water,direction,22,11,11,0.0528,-0.0048,-0.0285,0.1692,-0.169,0.868004584259784,lmer (1|class/order),0.915051233128757
SES.RaoQ,ax_productivity,strength,22,11,11,0.0397,0.1319,0.0922,0.0365,2.524,0.0218349745319568,lmer (1|class/order),0.203026112578739
SES.RaoQ,ax_productivity,direction,22,11,11,-0.0083,0.0056,0.0139,0.0568,0.244,0.809852158809748,lmer (1|class/order),0.894030233157479
