class,species,tt_key,match_route
Amphibia,Amolops adicola,,
Amphibia,Amolops albispinus,,
Amphibia,Amolops nyingchiensis,,
Amphibia,Amolops sinensis,,
Amphibia,Amolops xinduqiao,,
Amphibia,Amolops yatseni,,
Amphibia,Amolops yunkaiensis,,
Amphibia,Buergeria choui,,
Amphibia,Buergeria otai,,
Amphibia,Euphlyctis adolfi,,
Amphibia,Gracixalus guangdongensis,,
Amphibia,Gracixalus yunnanensis,,
Amphibia,Humerana humeralis,,
Amphibia,Hylarana annamitica,,
Amphibia,Hypselotriton yunnanensis,,
Amphibia,Kurixalus berylliniris,,
Amphibia,Kurixalus hainanus,,
Amphibia,Kurixalus lenquanensis,,
Amphibia,Kurixalus wangi,,
Amphibia,Kurixalus yangi,,
Amphibia,Leptobrachella laui,,
Amphibia,Leptobrachella mangshanensis,,
Amphibia,Leptobrachella maoershanensis,,
Amphibia,Leptobrachella petrops,,
Amphibia,Leptobrachella purpurus,,
Amphibia,Leptobrachella shangsiensis,,
Amphibia,Leptobrachella tengchongensis,,
Amphibia,Leptobrachium tengchongense,,
Amphibia,Limnonectes longchuanensis,,
Amphibia,Liuixalus shiwandashan,,
Amphibia,Liurana himalayana,,
Amphibia,Liurana vallecula,,
Amphibia,Megophrys acuta,,
Amphibia,Megophrys cheni,,
Amphibia,Megophrys lini,,
Amphibia,Megophrys maosonensis,,
Amphibia,Megophrys obesa,,
Amphibia,Megophrys ombrophila,,
Amphibia,Megophrys periosa,,
Amphibia,Megophrys popei,,
Amphibia,Megophrys rubrimera,,
Amphibia,Microhyla nilphamariensis,,
Amphibia,Minervarya agricola,,
Amphibia,Nanorana arunachalensis,,
Amphibia,Nanorana phrynoides,,
Amphibia,Nanorana sichuanensis,,
Amphibia,Odorrana fengkaiensis,,
Amphibia,Odorrana kweichowensis,,
Amphibia,Odorrana lipuensis,,
Amphibia,Odorrana mutschmanni,,
Amphibia,Pachytriton wuguanfui,,
Amphibia,Paramesotriton aurantius,,
Amphibia,Paramesotriton qixilingensis,,
Amphibia,Polypedates himalayensis,,
Amphibia,Rana dabieshanensis,,
Amphibia,Rana qianjiang,,
Amphibia,Rana uenoi,,
Amphibia,Rhacophorus vanbanicus,,
Amphibia,Rhacophorus viridimaculatus,,
Amphibia,Theloderma albopunctatum,,
Amphibia,Theloderma baibungense,,
Amphibia,Theloderma pyaukkya,,
Amphibia,Tylototriton anguliceps,,
Amphibia,Tylototriton liuyangensis,,
Amphibia,Tylototriton panwaensis,,
Amphibia,Zhangixalus amamiensis,,
Amphibia,Zhangixalus burmanus,,
Amphibia,Zhangixalus franki,,
Amphibia,Zhangixalus leucofasciatus,,
Amphibia,Zhangixalus pinglongensis,,
Amphibia,Zhangixalus zhoukaiyae,,
Aves,Coracias affinis,,
Aves,Dryobates cathpharius,,
Aves,Pteruthius aeralatus,,
Aves,Locustella chengi,,
Aves,Riparia chinensis,,
Aves,Rubigula flaviventris,,
Aves,Phylloscopus calciatilis,,
Aves,Cholornis paradoxus,,
Aves,Cholornis unicolor,,
Aves,Psittiparus gularis,,
Aves,Sinosuthora conspicillata,,
Aves,Sinosuthora brunnea,,
Aves,Sinosuthora webbiana,,
Aves,Sinosuthora alphonsiana,,
Aves,Sinosuthora zappeyi,,
Aves,Sinosuthora przewalskii,,
Aves,Neosuthora davidiana,,
Aves,Chleuasicus atrosuperciliaris,,
Aves,Turdinus crispifrons,,
Aves,Actinodura radcliffei,,
Aves,Sitta cinnamoventris,,
Aves,Brachypteryx sinensis,,
Aves,Kittacincla malabarica,,
Aves,Ficedula erithacus,,
Aves,Chloropsis moluccensis,,
Aves,Dicaeum minullum,,
Aves,Aethopyga latouchii,,
Aves,Passer cinnamomeus,,
Aves,Carpodacus stoliczkae,,
Aves,Carduelis caniceps,,
Aves,Bambusicola sonorivox,,
Aves,Anas zonorhyncha,,
Aves,Melanitta stejnegeri,,
Aves,Dryobates pernyii,,
Aves,Picoides funebris,,
Aves,Chrysocolaptes guttacristatus,,
Aves,Psilopogon asiaticus,,
Aves,Psilopogon cyanotis,,
Aves,Hierococcyx hyperythrus,,
Aves,Hierococcyx nisicolor,,
Aves,Strix nivicolum,,
Aves,Ninox japonica,,
Aves,Caprimulgus jotaka,,
Aves,Treron phayrei,,
Aves,Chlamydotis macqueenii,,
Aves,Rallus indicus,,
Aves,Charadrius dealbatus,,
Aves,Buteo japonicus,,
Aves,Buteo refectus,,
Aves,Ardea intermedia,,
Aves,Lanius phoenicuroides,,
Aves,Lanius borealis,,
Aves,Lanius giganteus,,
Aves,Garrulus leucotis,,
Aves,Garrulus bispecularis,,
Aves,Nucifraga hemispila,,
Aves,Zoothera salimalii,,
Aves,Turdus mandarinus,,
Aves,Turdus maximus,,
Aves,Turdus atrogularis,,
Aves,Brachypteryx goodfellowi,,
Aves,Ficedula elisae,,
Aves,Niltava oatesi,,
Aves,Cyornis glaucicomans,,
Aves,Calliope tschebaiewi,,
Aves,Tarsiger rufilatus,,
Aves,Cyanoptila cumatilis,,
Aves,Sitta przewalskii,,
Aves,Poecile weigoldicus,,
Aves,Sittiparus castaneoventris,,
Aves,Aegithalos glaucogularis,,
Aves,Aegithalos iredalei,,
Aves,Aegithalos bonvaloti,,
Aves,Riparia diluta,,
Aves,Prinia superciliaris,,
Aves,Acrocephalus orientalis,,
Aves,Phylloscopus tristis,,
Aves,Phylloscopus plumbeitarsus,,
Aves,Graminicola striatus,,
Aves,Garrulax monachus,,
Aves,Liocichla ripponi,,
Aves,Turdinus brevicaudatus,,
Aves,Conostoma aemodium,,
Aves,Sinosuthora ricketti,,
Aves,Psittiparus ruficeps,,
Aves,Psittiparus bakeri,,
Aves,Montifringilla henrici,,
Aves,Motacilla tschutschensis,,
Aves,Carpodacus formosanus,,
Aves,Carpodacus verreauxii,,
Aves,Carpodacus dubius,,
Mammalia,Arctonyx albogularis,,
Mammalia,Aselliscus dongbacanus,,
Mammalia,Barbastella darjelingensis,,
Mammalia,Berylmys latouchei,,
Mammalia,Cervus hanglu,,
Mammalia,Cnephaeus gobiensis,,
Mammalia,Cnephaeus nilssonii,,
Mammalia,Cnephaeus ognevi,,
Mammalia,Cnephaeus pachyomus,,
Mammalia,Cnephaeus pachyotis,,
Mammalia,Cnephaeus serotinus,,
Mammalia,Hipposideros gentilis,,
Mammalia,Hoolock tianxing,,
Mammalia,Kerivoula furva,,
Mammalia,Murina feae,,
Mammalia,Myotis indochinensis,,
Mammalia,Myotis longicaudatus,,
Mammalia,Myotis rufoniger,,
Mammalia,Myotis sibiricus,,
Mammalia,Niviventer langbianis,,
Mammalia,Ochotona roylii,,
Mammalia,Plecotus ariel,,
Mammalia,Plecotus homochrous,,
Mammalia,Plecotus strelkovi,,
Mammalia,Plecotus wardi,,
Mammalia,Rhinolophus microglobosus,,
Mammalia,Sicista zhetysuica,,
Mammalia,Stenocranius gregalis,,
Mammalia,Stenocranius raddei,,
Mammalia,Trachypithecus crepusculus,,
Mammalia,Trachypithecus leucocephalus,,
Mammalia,Xanthonycticebus intermedius,,
Reptilia,Ablepharus ladacensis,,
Reptilia,Achalinus dehuaensis,,
Reptilia,Achalinus huangjietangi,,
Reptilia,Achalinus yangdatongi,,
Reptilia,Achalinus yunkaiensis,,
Reptilia,Boiga gocool,,
Reptilia,Cyrtodactylus cayuensis,,
Reptilia,Dendrelaphis vogeli,,
Reptilia,Diploderma brevicauda,,
Reptilia,Diploderma iadinum,,
Reptilia,Diploderma laeviventre,,
Reptilia,Diploderma slowinskii,,
Reptilia,Diploderma vela,,
Reptilia,Diploderma yunnanense,,
Reptilia,Fowlea piscator,,
Reptilia,Gekko kwangsiensis,,
Reptilia,Gekko liboensis,,
Reptilia,Gongylosoma frenata,,
Reptilia,Goniurosaurus zhoui,,
Reptilia,Gonyosoma hainanense,,
Reptilia,Hebius clerki,,
Reptilia,Hebius sangzhiensis,,
Reptilia,Hebius septemlineatus,,
Reptilia,Hebius weixiensis,,
Reptilia,Hebius yanbianensis,,
Reptilia,Hemiphyllodactylus changningensis,,
Reptilia,Lycodon cathaya,,
Reptilia,Lycodon meridionalis,,
Reptilia,Lycodon pictus,,
Reptilia,Lycodon serratus,,
Reptilia,Lygosoma siamense,,
Reptilia,Oligodon lipipengi,,
Reptilia,Opisthotropis hungtai,,
Reptilia,Opisthotropis shenzhenensis,,
Reptilia,Opisthotropis zhaoermii,,
Reptilia,Pareas niger,,
