class,n_species,trait,missing_pct_before,used_in_main,imputed_pct,OOB_NRMSE
Reptilia,472,body_mass,0,TRUE,0,0.005
Reptilia,472,body_length,0,TRUE,0,0.005
Reptilia,472,nocturnality,0,TRUE,0,0.005
Reptilia,472,verticality,0,TRUE,0,0.005
Reptilia,472,diet_breadth,15,TRUE,15,0.005
Reptilia,472,diet_vert,15,TRUE,15,0.005
Reptilia,472,diet_plant,15,TRUE,15,0.005
Reptilia,472,habitat_breadth,0,TRUE,0,0.005
Reptilia,472,litter_size,26.5,TRUE,26.5,0.005
Reptilia,472,max_longevity,71.4,FALSE,,0.005
Reptilia,472,range_size,0,TRUE,0,0.005
Aves,1086,body_mass,0,TRUE,0,0.0092
Aves,1086,body_length,0,TRUE,0,0.0092
Aves,1086,nocturnality,0,TRUE,0,0.0092
Aves,1086,verticality,0,TRUE,0,0.0092
Aves,1086,diet_breadth,2.9,TRUE,2.9,0.0092
Aves,1086,diet_vert,2.9,TRUE,2.9,0.0092
Aves,1086,diet_plant,2.9,TRUE,2.9,0.0092
Aves,1086,habitat_breadth,0,TRUE,0,0.0092
Aves,1086,litter_size,15.8,TRUE,15.8,0.0092
Aves,1086,max_longevity,66.7,FALSE,,0.0092
Aves,1086,range_size,0,TRUE,0,0.0092
Mammalia,599,body_mass,0,TRUE,0,0.008
Mammalia,599,body_length,0,TRUE,0,0.008
Mammalia,599,nocturnality,0,TRUE,0,0.008
Mammalia,599,verticality,0,TRUE,0,0.008
Mammalia,599,diet_breadth,16.5,TRUE,16.5,0.008
Mammalia,599,diet_vert,16.5,TRUE,16.5,0.008
Mammalia,599,diet_plant,16.5,TRUE,16.5,0.008
Mammalia,599,habitat_breadth,0,TRUE,0,0.008
Mammalia,599,litter_size,34.4,TRUE,34.4,0.008
Mammalia,599,max_longevity,45.4,FALSE,,0.008
Mammalia,599,range_size,0,TRUE,0,0.008
Amphibia,438,body_mass,0,TRUE,0,0
Amphibia,438,body_length,0,TRUE,0,0
Amphibia,438,nocturnality,0,TRUE,0,0
Amphibia,438,verticality,0,TRUE,0,0
Amphibia,438,diet_breadth,67.8,FALSE,,0
Amphibia,438,diet_vert,67.6,FALSE,,0
Amphibia,438,diet_plant,67.6,FALSE,,0
Amphibia,438,habitat_breadth,0,TRUE,0,0
Amphibia,438,litter_size,61.9,FALSE,,0
Amphibia,438,max_longevity,81.5,FALSE,,0
Amphibia,438,range_size,0,TRUE,0,0
