class,trait,coverage_after
Amphibia,body_length,100
Amphibia,body_mass,100
Amphibia,diet_breadth,32.2
Amphibia,diet_plant,32.4
Amphibia,diet_vert,32.4
Amphibia,habitat_breadth,100
Amphibia,litter_size,38.1
Amphibia,max_longevity,18.5
Amphibia,nocturnality,100
Amphibia,range_size,100
Amphibia,verticality,100
Aves,body_length,100
Aves,body_mass,100
Aves,diet_breadth,100
Aves,diet_plant,100
Aves,diet_vert,100
Aves,habitat_breadth,100
Aves,litter_size,100
Aves,max_longevity,33.3
Aves,nocturnality,100
Aves,range_size,100
Aves,verticality,100
Mammalia,body_length,100
Mammalia,body_mass,100
Mammalia,diet_breadth,100
Mammalia,diet_plant,100
Mammalia,diet_vert,100
Mammalia,habitat_breadth,100
Mammalia,litter_size,100
Mammalia,max_longevity,54.6
Mammalia,nocturnality,100
Mammalia,range_size,100
Mammalia,verticality,100
Reptilia,body_length,100
Reptilia,body_mass,100
Reptilia,diet_breadth,100
Reptilia,diet_plant,100
Reptilia,diet_vert,100
Reptilia,habitat_breadth,100
Reptilia,litter_size,100
Reptilia,max_longevity,28.6
Reptilia,nocturnality,100
Reptilia,range_size,100
Reptilia,verticality,100
