trait,r1,r2,class
body_mass,-0.734072088539522,-0.601260104350089,Aves
body_length,-0.693661696495758,-0.64293841676526,Aves
nocturnality,-0.240923880170603,-0.111360079875998,Aves
verticality,0.835144780092278,-0.486347925431929,Aves
habitat_breadth,-0.402889950530977,0.0220919848353987,Aves
range_size,-0.337023578585255,-0.161460753267803,Aves
body_mass,-0.803633519179206,-0.0602839498248739,Mammalia
body_length,-0.834172994305614,-0.0467691431677635,Mammalia
nocturnality,0.713061057133019,0.526668510565508,Mammalia
verticality,0.586350474876005,-0.389575155225088,Mammalia
habitat_breadth,-0.32773170123824,0.658247554514905,Mammalia
range_size,-0.254715744760272,0.538928778411153,Mammalia
body_mass,0.305155434672451,0.742288058902015,Reptilia
body_length,0.509370089499408,0.71560806732011,Reptilia
nocturnality,0.956867041146868,-0.228215400717714,Reptilia
verticality,-0.0482843066058407,-0.148889293601402,Reptilia
habitat_breadth,-0.0189203699907272,0.579043643193493,Reptilia
range_size,-0.0165818919081214,0.623125932207287,Reptilia
body_mass,-0.610951314498184,-0.500871945276719,Amphibia
body_length,-0.583738491591753,-0.622539567551156,Amphibia
nocturnality,0.67138070392369,-0.195437524543453,Amphibia
verticality,0.49585627735791,0.363329182279308,Amphibia
habitat_breadth,-0.429610822138843,0.638972080846413,Amphibia
range_size,-0.512690698678452,0.581633731141174,Amphibia
