Class,Order,Family,Thermoregulatory mode,Species (n),Coupling: all axes,Coupling: thermal energy,Coupling: human pressure
Amphibians,ANURA,RANIDAE,Ectotherm,109,0.123,0.281,0.045
Amphibians,ANURA,MEGOPHRYIDAE,Ectotherm,82,0.162,0.144,0.123
Amphibians,ANURA,RHACOPHORIDAE,Ectotherm,72,0.151,0.226,0.128
Amphibians,ANURA,DICROGLOSSIDAE,Ectotherm,49,0.207,0.415,0.089
Amphibians,ANURA,MICROHYLIDAE,Ectotherm,22,0.417,0.917,0.084
Reptiles,SQUAMATA,COLUBRIDAE,Ectotherm,82,0.081,0.232,0.009
Reptiles,SQUAMATA,NATRICIDAE,Ectotherm,59,0.078,0.169,0.045
Reptiles,SQUAMATA,AGAMIDAE,Ectotherm,57,0.216,0.379,0.123
Reptiles,SQUAMATA,SCINCIDAE,Ectotherm,48,0.087,0.160,0.065
Reptiles,SQUAMATA,VIPERIDAE,Ectotherm,39,0.188,0.674,0.055
Reptiles,SQUAMATA,GEKKONIDAE,Ectotherm,37,0.067,0.149,0.044
Reptiles,SQUAMATA,LACERTIDAE,Ectotherm,31,0.246,0.378,0.071
Birds,PASSERIFORMES,TIMALIIDAE,Endotherm,81,0.152,0.361,0.025
Birds,PASSERIFORMES,MUSCICAPIDAE,Endotherm,63,0.056,0.093,0.014
Birds,PASSERIFORMES,SYLVIIDAE,Endotherm,60,0.065,0.072,0.014
Birds,GALLIFORMES,PHASIANIDAE,Endotherm,57,0.068,0.120,0.030
Birds,ACCIPITRIFORMES,ACCIPITRIDAE,Endotherm,42,0.068,0.191,0.008
Birds,PASSERIFORMES,FRINGILLIDAE,Endotherm,34,0.103,0.061,0.054
Birds,ANSERIFORMES,ANATIDAE,Endotherm,28,0.067,0.095,0.019
Birds,PASSERIFORMES,CORVIDAE,Endotherm,26,0.071,0.120,0.017
Birds,COLUMBIFORMES,COLUMBIDAE,Endotherm,24,0.075,0.202,0.011
Birds,PASSERIFORMES,TURDIDAE,Endotherm,23,0.222,0.383,0.123
Birds,STRIGIFORMES,STRIGIDAE,Endotherm,22,0.091,0.307,0.010
Birds,PASSERIFORMES,EMBERIZIDAE,Endotherm,21,0.140,0.146,0.046
Birds,PICIFORMES,PICIDAE,Endotherm,20,0.100,0.225,0.055
Mammals,CHIROPTERA,VESPERTILIONIDAE,Endotherm,84,0.041,0.085,0.019
Mammals,RODENTIA,CRICETIDAE,Endotherm,70,0.097,0.174,0.035
Mammals,EULIPOTYPHLA,SORICIDAE,Endotherm,60,0.094,0.219,0.033
Mammals,RODENTIA,MURIDAE,Endotherm,58,0.052,0.154,0.033
Mammals,RODENTIA,SCIURIDAE,Endotherm,49,0.094,0.346,0.022
Mammals,CHIROPTERA,RHINOLOPHIDAE,Endotherm,24,0.104,0.183,0.033
Mammals,LAGOMORPHA,OCHOTONIDAE,Endotherm,22,0.246,0.399,0.166
Mammals,CARNIVORA,MUSTELIDAE,Endotherm,20,0.055,0.087,0.021
